Chamber,Eta,Strip,Strip Rate,Error
0,1,-1,0.0,850.4520973030185
0,1,0,57078.891327530604,0.0
0,1,1,6815.876753294612,0.0
0,1,2,7345.819323825892,0.0
0,1,3,8935.647035419732,0.0
0,1,4,7875.7618943571715,0.0
0,1,5,7370.278211696566,427.1561128444948
0,1,6,8642.140380971638,449.07950944994934
0,1,7,7769.773380250916,471.3230442769344
0,1,8,6652.817500823449,452.3976036487796
0,1,9,6636.511575576334,516.9261205969063
0,1,10,7353.972286449451,517.4402193023814
0,1,11,7533.337464167729,568.3731923392603
0,1,12,8707.364081960102,580.5230001245087
0,1,13,7345.819323825892,588.4270513919107
0,1,14,8373.09261439422,635.0419992536503
0,1,15,7916.526707474963,656.4527351037436
0,1,16,8666.599268842312,714.7223897945491
0,1,17,8267.104100287963,727.6262215898694
0,1,18,7052.312669377799,738.1471017613584
0,1,19,8829.658521313475,754.7987962808885
0,1,20,9587.884045304383,906.7399404042558
0,1,21,7998.056333710544,807.7607122754812
0,1,22,10346.109569295291,802.7253146324551
0,1,23,8625.834455724522,791.7194197901894
0,1,24,8267.104100287963,797.3247310923111
0,1,25,7924.679670098521,760.5451318672463
0,1,26,7753.4674550038,833.0397032611721
0,1,27,7394.737099567241,770.4441835086732
0,1,28,7427.348950061473,779.0666663451302
0,1,29,7329.513398578776,795.2796097184378
0,1,30,6848.4886037888455,793.5224534020338
0,1,31,6595.746762458542,939.1137142603097
0,1,32,5984.274565691681,734.7624336294746
0,1,33,6473.45232310517,729.7698581906374
0,1,34,7280.595622837427,749.8509807411543
0,1,35,7353.972286449451,720.1424706403202
0,1,36,11887.01950514778,737.8768996529478
0,1,37,7484.419688426381,814.3173191222047
0,1,38,7671.937828768218,778.8960055180344
0,1,39,7321.360435955217,775.3034504311809
0,1,40,12506.6446645382,772.5980713666083
0,1,41,8715.517044583661,772.5980713666083
0,1,42,8055.127072075451,782.0047031690109
0,1,43,8356.786689147102,767.5484977075324
0,1,44,7272.442660213869,792.7681941535259
0,1,45,7851.303006486497,746.2967434976384
0,1,46,7737.161529756683,922.2582886200473
0,1,47,7125.689332989822,777.2300986386499
0,1,48,7574.10227728552,762.0294645165407
0,1,49,8022.515221581219,806.6490294472449
0,1,50,7492.572651049939,781.3669392707474
0,1,51,8161.115586181707,760.2391742143909
0,1,52,8161.115586181707,779.7915581758459
0,1,53,7590.408202532637,738.9121378289117
0,1,54,7859.455969110056,718.1089491436062
0,1,55,7794.23226812159,738.642215577776
0,1,56,9579.731082680824,722.7223137514492
0,1,57,7908.373744851405,790.1226166174152
0,1,58,8136.656698311032,776.3315911641633
0,1,59,8210.033361923057,725.6136734966752
0,1,60,10411.333270283756,736.4341473995689
0,1,61,8422.010390135569,753.5207825139166
0,1,62,7492.572651049939,721.0649027728136
0,1,63,7525.184501544171,713.7917612881287
0,1,64,7924.679670098521,739.6763826316829
0,1,65,7239.830809719636,770.0558438882701
0,1,66,9147.624063632244,776.0318574921354
0,1,67,8104.0448478168,766.4652153519829
0,1,68,7394.737099567241,796.3654302027306
0,1,69,9049.788512149546,816.3147465285006
0,1,70,8454.6222406298,776.8023675520269
0,1,71,8739.975932454336,760.2391742143909
0,1,72,8136.656698311032,755.7229053412647
0,1,73,8055.127072075451,813.7048815321544
0,1,74,7867.608931733614,752.7705932674216
0,1,75,7859.455969110056,749.0527477599494
0,1,76,8984.56481116108,780.8989147068802
0,1,77,7565.9493146619625,789.5335066333632
0,1,78,7492.572651049939,812.2331472217669
0,1,79,8495.38705374759,817.860413385104
0,1,80,8169.268548805265,764.4679650355986
0,1,81,7843.150043862939,895.7876378141171
0,1,82,9066.094437396661,758.7075352375507
0,1,83,9041.635549525987,844.8452198318461
0,1,84,7614.8670904033115,765.163252096131
0,1,85,7574.10227728552,746.2076706628643
0,1,86,7337.666361202334,803.8837684260865
0,1,87,7484.419688426381,790.0384849431506
0,1,88,8144.809660934591,787.1726578854676
0,1,89,9074.24740002022,823.5702996816686
0,1,90,8218.186324546614,791.0054589449525
0,1,91,8674.75223146587,835.2709213086287
0,1,92,8250.798175040847,770.0990024055459
0,1,93,7239.830809719636,740.8437026871197
0,1,94,7117.536370366264,847.5552670127528
0,1,95,6718.041201811915,732.6334051179175
0,1,96,6758.806014929705,761.9422308759919
0,1,97,6889.253416906636,785.1857523822232
0,1,98,7639.325978273985,815.2147286526903
0,1,99,8764.43482032501,786.7925750327091
0,1,100,9131.318138385126,854.8178164706851
0,1,101,10207.509204694803,801.1919315424688
0,1,102,9302.530353479848,809.3227160276399
0,1,103,9644.954783669291,775.2605816439743
0,1,104,9457.436643327454,839.3592820339228
0,1,105,9000.870736408197,803.8837684260865
0,1,106,9172.082951502918,796.6157939805281
0,1,107,7940.985595345637,762.2039018461727
0,1,108,8210.033361923057,776.7167930689743
0,1,109,8438.316315382684,777.4866243396682
0,1,110,9057.941474773104,793.480568920022
0,1,111,8960.105923290406,784.9740834870488
0,1,112,9742.790335151987,758.3131851882631
0,1,113,13786.65979643683,782.089699061134
0,1,114,8878.576297054824,829.5614429621129
0,1,115,7908.373744851405,790.1226166174152
0,1,116,8682.905194089428,772.2538530062985
0,1,117,7623.020053026869,758.7075352375507
0,1,118,7818.691155992265,799.4061963660797
0,1,119,8585.069642606732,765.7277079695904
0,1,120,8829.658521313475,801.7310219536143
0,1,121,8120.350773063917,753.5648880354806
0,1,122,9612.342933175058,776.160328953572
0,1,123,8063.280034699009,777.0162625274581
0,1,124,8593.222605230289,799.6971691742262
0,1,125,7394.737099567241,720.7882970841856
0,1,126,8968.258885913963,890.2422945069318
0,1,127,8348.633726523545,731.2257596043095
0,1,128,6742.5000896825895,689.7811124664496
0,1,129,7720.8556045095675,695.3478236553448
0,1,130,8829.658521313475,730.8165804858488
0,1,131,7663.78486614466,817.4945985060593
0,1,132,7141.995258236939,715.2801857091563
0,1,133,9343.295166597638,736.8853109212731
0,1,134,7500.725613673497,730.7711019967114
0,1,135,7761.620417627358,739.7662418779151
0,1,136,8601.375567853847,707.2900659182135
0,1,137,8316.021876029312,656.8070409351393
0,1,138,10501.015859142895,725.2471556435162
0,1,139,8805.1996334428,710.5249626261764
0,1,140,8519.845941618265,738.8221747022826
0,1,141,7851.303006486497,715.9768194999348
0,1,142,8413.85742751201,704.465037723039
0,1,143,9155.7770262558,715.0943020818728
0,1,144,9009.023699031755,708.7452519293275
0,1,145,8201.880399299498,709.6356651998599
0,1,146,10452.098083401546,698.3525300543531
0,1,147,10109.673653212105,708.4169228184616
0,1,148,9318.836278726963,703.3318492611687
0,1,149,9294.377390856289,707.431021192324
0,1,150,8316.021876029312,743.4858229879628
0,1,151,8014.362258957661,733.2229038216888
0,1,152,8250.798175040847,748.786481000748
0,1,153,8332.327801276428,739.451686741863
0,1,154,10427.639195530872,714.8618795769256
0,1,155,9098.706287890895,716.0232376541863
0,1,156,8104.0448478168,756.5141003637556
0,1,157,8797.046670819243,718.4328489406107
0,1,158,8658.446306218753,711.5065771342477
0,1,159,8821.505558689918,695.538984572676
0,1,160,7655.631903521102,684.6547147023033
0,1,161,7419.195987437915,700.3485059697379
0,1,162,7451.807837932148,750.8697102080474
0,1,163,9000.870736408197,729.7698581906374
0,1,164,8095.891885193242,728.0828430477957
0,1,165,9025.329624278871,713.6054899485038
0,1,166,8699.211119336545,708.8859178534932
0,1,167,10468.404008648664,735.9375480712868
0,1,168,8218.186324546614,741.1128231304652
0,1,169,9253.612577738499,743.306992961807
0,1,170,9066.094437396661,723.962881908913
0,1,171,7908.373744851405,758.0501711846797
0,1,172,8438.316315382684,743.6199172848397
0,1,173,9465.58960595101,723.8710608822379
0,1,174,8364.939651770661,709.6356651998599
0,1,175,8462.775203253359,722.3543288427909
0,1,176,8617.681493100963,729.8153990723436
0,1,177,10240.121055189034,728.1741329789485
0,1,178,8519.845941618265,763.0319345747016
0,1,179,13305.635001646899,775.3034504311809
0,1,180,7794.23226812159,752.1080401744612
0,1,181,8356.786689147102,713.0929928765895
0,1,182,8748.128895077894,700.6806158377951
0,1,183,7924.679670098521,718.9877662599108
0,1,184,8780.740745572126,747.6315625636829
0,1,185,15327.56973228932,707.8537186036989
0,1,186,9938.461438117383,764.7722309043767
0,1,187,17846.83518296879,752.4614744233739
0,1,188,7998.056333710544,709.4483026447263
0,1,189,8454.6222406298,741.3370155375447
0,1,190,8666.599268842312,699.8737899211775
0,1,191,6237.016407021984,703.3318492611687
0,1,192,6147.333818162844,690.1183077648649
0,1,193,16844.020780271137,702.7172758592893
0,1,194,10183.050316824128,736.07301747843
0,1,195,15001.451227346994,777.2300986386499
0,1,196,21262.926522239653,745.762146907904
0,1,197,9636.801821045732,743.5305237739938
0,1,198,10933.122878191478,777.0162625274581
0,1,199,9702.025522034197,699.4462700041814
0,1,200,11291.853233628037,744.7810565332481
0,1,201,9432.977755456779,741.1128231304652
0,1,202,13297.482039023342,717.3217264574768
0,1,203,9147.624063632244,752.7264412046682
0,1,204,10068.908840094315,738.8671576348156
0,1,205,10199.356242071244,737.6516556232627
0,1,206,10240.121055189034,750.3826643206548
